catId,query_text,nmf_tp,nmf_fp,nmf_fn,nmf_precision,nmf_recall,nmf_f1,hy_tp,hy_fp,hy_fn,hy_precision,hy_recall,hy_f1
3000001526,Absurdist,2,18,18,0.1,0.1,0.10000000000000002,3,17,17,0.15,0.15,0.15
3000001527,Action & Adventure,2,18,18,0.1,0.1,0.10000000000000002,3,17,17,0.15,0.15,0.15
3000001529,African American & Black,16,4,4,0.8,0.8,0.8000000000000002,17,3,3,0.85,0.85,0.85
3000001532,Historical,0,20,20,0.0,0.0,0.0,0,20,20,0.0,0.0,0.0
3000001533,Mystery & Detective,1,19,19,0.05,0.05,0.05000000000000001,3,17,17,0.15,0.15,0.15
3000001534,Urban & Street Lit,11,9,9,0.55,0.55,0.55,13,7,7,0.65,0.65,0.65
3000001535,Women,0,20,20,0.0,0.0,0.0,0,20,20,0.0,0.0,0.0
3000001536,Alternative History,0,20,20,0.0,0.0,0.0,1,19,19,0.05,0.05,0.05000000000000001
3000001537,Amish & Mennonite,20,0,0,1.0,1.0,1.0,20,0,0,1.0,1.0,1.0
3000001538,Animals,1,19,19,0.05,0.05,0.05000000000000001,1,19,19,0.05,0.05,0.05000000000000001
3000001539,Anthologies (multiple authors),0,20,20,0.0,0.0,0.0,0,20,20,0.0,0.0,0.0
3000001540,Asian American & Pacific Islander,0,20,20,0.0,0.0,0.0,0,20,20,0.0,0.0,0.0
3000001541,Biographical & Autofiction,0,20,20,0.0,0.0,0.0,1,19,19,0.05,0.05,0.05000000000000001
3000001552,Romance,1,19,19,0.05,0.05,0.05000000000000001,1,19,19,0.05,0.05,0.05000000000000001
3000001556,Western,0,20,20,0.0,0.0,0.0,0,20,20,0.0,0.0,0.0
3000001558,City Life,2,18,18,0.1,0.1,0.10000000000000002,2,18,18,0.1,0.1,0.10000000000000002
3000001559,Classics,3,17,17,0.15,0.15,0.15,3,17,17,0.15,0.15,0.15
3000001560,Coming Of Age,1,19,19,0.05,0.05,0.05000000000000001,1,19,19,0.05,0.05,0.05000000000000001
3000001561,Crime,5,15,15,0.25,0.25,0.25,3,17,17,0.15,0.15,0.15
3000001562,Cultural Heritage,0,20,20,0.0,0.0,0.0,0,20,20,0.0,0.0,0.0
3000001567,Dystopian,2,18,18,0.1,0.1,0.10000000000000002,3,17,17,0.15,0.15,0.15
3000001581,"Fairy Tales, Folk Tales, Legends & Mythology",7,13,13,0.35,0.35,0.35,8,12,12,0.4,0.4,0.4000000000000001
3000001582,Family Life,8,12,12,0.4,0.4,0.4000000000000001,8,12,12,0.4,0.4,0.4000000000000001
3000001583,Marriage & Divorce,1,19,19,0.05,0.05,0.05000000000000001,3,17,17,0.15,0.15,0.15
3000001586,Siblings,0,20,20,0.0,0.0,0.0,0,20,20,0.0,0.0,0.0
3000001593,Dark Fantasy,2,18,18,0.1,0.1,0.10000000000000002,0,20,20,0.0,0.0,0.0
3000001594,Dragons & Mythical Creatures,16,4,4,0.8,0.8,0.8000000000000002,17,3,3,0.85,0.85,0.85
3000001595,Epic,13,7,7,0.65,0.65,0.65,12,8,8,0.6,0.6,0.6
3000001598,Humorous,1,19,19,0.05,0.05,0.05000000000000001,2,18,18,0.1,0.1,0.10000000000000002
3000001601,Paranormal,3,17,17,0.15,0.15,0.15,3,17,17,0.15,0.15,0.15
3000001603,Urban,7,13,13,0.35,0.35,0.35,11,9,9,0.55,0.55,0.55
3000001604,Feminist,2,18,18,0.1,0.1,0.10000000000000002,2,18,18,0.1,0.1,0.10000000000000002
3000001605,Friendship,11,9,9,0.55,0.55,0.55,12,8,8,0.6,0.6,0.6
3000001606,Ghost,14,6,6,0.7,0.7,0.7,13,7,7,0.65,0.65,0.65
3000001607,Gothic,3,17,17,0.15,0.15,0.15,6,14,14,0.3,0.3,0.3
3000001608,Hispanic & Latino,0,20,20,0.0,0.0,0.0,2,18,18,0.1,0.1,0.10000000000000002
3000001621,19th Century,0,20,20,0.0,0.0,0.0,0,20,20,0.0,0.0,0.0
3000001623,World War II & Holocaust,3,17,17,0.15,0.15,0.15,4,16,16,0.2,0.2,0.20000000000000004
3000001624,20th Century,0,20,20,0.0,0.0,0.0,0,20,20,0.0,0.0,0.0
3000001631,Holidays,11,9,9,0.55,0.55,0.55,10,10,10,0.5,0.5,0.5
3000001640,Dark Humor,0,20,20,0.0,0.0,0.0,0,20,20,0.0,0.0,0.0
3000001656,Jewish,0,20,20,0.0,0.0,0.0,2,18,18,0.1,0.1,0.10000000000000002
3000001664,Legal,8,12,12,0.4,0.4,0.4000000000000001,8,12,12,0.4,0.4,0.4000000000000001
3000001666,Literary,5,15,15,0.25,0.25,0.25,6,14,14,0.3,0.3,0.3
3000001667,Magical Realism,0,20,20,0.0,0.0,0.0,0,20,20,0.0,0.0,0.0
3000001669,Media Tie-In,0,20,20,0.0,0.0,0.0,0,20,20,0.0,0.0,0.0
3000001670,Medical,2,18,18,0.1,0.1,0.10000000000000002,9,11,11,0.45,0.45,0.45
3000001675,Amateur Sleuth,12,8,8,0.6,0.6,0.6,13,7,7,0.65,0.65,0.65
